"Path"	"Type"	"Extent"	"OffsetHex"	"Size"
"3EYE\3SAI3PCT.CCS"	"file"	"5019"	"0x9CD800"	"16210"
"3EYE\3SCH3EYE.CCS"	"file"	"5027"	"0x9D1800"	"14181"
"3EYE\3SCH3PCT.CCS"	"file"	"5034"	"0x9D5000"	"18558"
"3EYE\3SCO3EYE.CCS"	"file"	"5044"	"0x9DA000"	"54911"
"3EYE\3SCO3PCT.CCS"	"file"	"5071"	"0x9E7800"	"14669"
"3EYE\3SCV3EYE.CCS"	"file"	"5079"	"0x9EB800"	"53304"
"3EYE\3SCV3PCT.CCS"	"file"	"5106"	"0x9F9000"	"21534"
"3EYE\3SEC3EYE.CCS"	"file"	"5117"	"0x9FE800"	"35290"
"3EYE\3SEC3PCT.CCS"	"file"	"5135"	"0xA07800"	"17493"
"3EYE\3SIK3EYE.CCS"	"file"	"5144"	"0xA0C000"	"31695"
"3EYE\3SIK3PCT.CCS"	"file"	"5160"	"0xA14000"	"13654"
"3EYE\3SIN3EYE.CCS"	"file"	"5167"	"0xA17800"	"52569"
"3EYE\3SIN3PCT.CCS"	"file"	"5193"	"0xA24800"	"19847"
"3EYE\3SIW3EYE.CCS"	"file"	"5203"	"0xA29800"	"31546"
"3EYE\3SIW3PCT.CCS"	"file"	"5219"	"0xA31800"	"14952"
"3EYE\3SKN3EYE.CCS"	"file"	"5227"	"0xA35800"	"33907"
"3EYE\3SKN3PCT.CCS"	"file"	"5244"	"0xA3E000"	"14794"
"3EYE\3SKR3EYE.CCS"	"file"	"5252"	"0xA42000"	"57440"
"3EYE\3SKR3PCT.CCS"	"file"	"5281"	"0xA50800"	"11421"
"3EYE\3SKV3EYE.CCS"	"file"	"5287"	"0xA53800"	"169568"
"3EYE\3SKV3PCT.CCS"	"file"	"5370"	"0xA7D000"	"16731"
"3EYE\3SKW3EYE.CCS"	"file"	"5379"	"0xA81800"	"57067"
"3EYE\3SKW3PCT.CCS"	"file"	"5407"	"0xA8F800"	"12724"
"3EYE\3SNW3EYE.CCS"	"file"	"5414"	"0xA93000"	"41564"
"3EYE\3SNW3PCT.CCS"	"file"	"5435"	"0xA9D800"	"24607"
"3EYE\3SSK3EYE.CCS"	"file"	"5448"	"0xAA4000"	"27331"
"3EYE\3SSK3PCT.CCS"	"file"	"5462"	"0xAAB000"	"12865"
"3EYE\3SSV3EYE.CCS"	"file"	"5469"	"0xAAE800"	"71736"
"3EYE\3SSV3PCT.CCS"	"file"	"5505"	"0xAC0800"	"17218"
"3EYE\3SSW3EYE.CCS"	"file"	"5514"	"0xAC5000"	"45032"
"3EYE\3SSW3PCT.CCS"	"file"	"5536"	"0xAD0000"	"15041"
"3EYE\3SZW3EYE.CCS"	"file"	"5544"	"0xAD4000"	"98896"
"3EYE\3SZW3PCT.CCS"	"file"	"5593"	"0xAEC800"	"13465"
"3EYE\3TEN3EYE.CCS"	"file"	"5600"	"0xAF0000"	"32536"
"3EYE\3TEN3PCT.CCS"	"file"	"5616"	"0xAF8000"	"10725"
"3EYE\3TEW3EYE.CCS"	"file"	"5622"	"0xAFB000"	"21806"
"3EYE\3TEW3PCT.CCS"	"file"	"5633"	"0xB00800"	"13733"
"3EYE\3TMR3EYE.CCS"	"file"	"5640"	"0xB04000"	"26280"
"3EYE\3TMR3PCT.CCS"	"file"	"5653"	"0xB0A800"	"15346"
"3EYE\3TMW3EYE.CCS"	"file"	"5661"	"0xB0E800"	"41477"
"3EYE\3TMW3PCT.CCS"	"file"	"5682"	"0xB19000"	"15882"
"3EYE\3TNW3EYE.CCS"	"file"	"5690"	"0xB1D000"	"70481"
"3EYE\3TNW3PCT.CCS"	"file"	"5725"	"0xB2E800"	"15930"
"3EYE\3TOV3EYE.CCS"	"file"	"5733"	"0xB32800"	"89289"
"3EYE\3TOV3PCT.CCS"	"file"	"5777"	"0xB48800"	"16876"
"3EYE\3TYO3EYE.CCS"	"file"	"5786"	"0xB4D000"	"36860"
"3EYE\3TYO3PCT.CCS"	"file"	"5804"	"0xB56000"	"17184"
"3EYE\3TYV3EYE.CCS"	"file"	"5813"	"0xB5A800"	"37578"
"3EYE\3TYV3PCT.CCS"	"file"	"5832"	"0xB64000"	"18397"
"3EYE\3TYW3EYE.CCS"	"file"	"5841"	"0xB68800"	"37238"
"3EYE\3TYW3PCT.CCS"	"file"	"5860"	"0xB72000"	"19358"
"3EYE\3TYY3EYE.CCS"	"file"	"5870"	"0xB77000"	"26887"
"3EYE\3TYY3PCT.CCS"	"file"	"5884"	"0xB7E000"	"17283"
"3EYE\3YMT3EYE.CCS"	"file"	"5893"	"0xB82800"	"51102"
"3EYE\3YMT3PCT.CCS"	"file"	"5918"	"0xB8F000"	"12829"
"3EYE\3ZBZ3EYE.CCS"	"file"	"5925"	"0xB92800"	"35730"
"3EYE\3ZBZ3PCT.CCS"	"file"	"5943"	"0xB9B800"	"16084"
"3EYE\ENDDEMO.CCS"	"file"	"5951"	"0xB9F800"	"74520"
"ADV"	"dir"	"27"	"0xD800"	"4096"
"ADV\ADVBG.CCS"	"file"	"5988"	"0xBB2000"	"15969"
"ADV\ADVBPIC1.CCS"	"file"	"5996"	"0xBB6000"	"29802"
"ADV\ADVBPIC2.CCS"	"file"	"6011"	"0xBBD800"	"32574"
"ADV\ADVBPIC3.CCS"	"file"	"6027"	"0xBC5800"	"33372"
"ADV\ADVBPIC4.CCS"	"file"	"6044"	"0xBCE000"	"32623"
"ADV\ADVBPIC5.CCS"	"file"	"6060"	"0xBD6000"	"31496"
"ADV\ADVCONST.CCS"	"file"	"6076"	"0xBDE000"	"2288"
"ADV\ADVDOLL_F01.CCS"	"file"	"6078"	"0xBDF000"	"80741"
"ADV\ADVDOLL_F02.CCS"	"file"	"6118"	"0xBF3000"	"86263"
"ADV\ADVDOLL_F03.CCS"	"file"	"6161"	"0xC08800"	"86556"
"ADV\ADVDOLL_F04.CCS"	"file"	"6204"	"0xC1E000"	"75231"
"ADV\ADVDOLL_F05.CCS"	"file"	"6241"	"0xC30800"	"79811"
"ADV\ADVDOLL_F06.CCS"	"file"	"6280"	"0xC44000"	"81263"
"ADV\ADVDOLL_F07.CCS"	"file"	"6320"	"0xC58000"	"27149"
"ADV\ADVEFFECT.CCS"	"file"	"6334"	"0xC5F000"	"196972"
"ADV\ADVFROGPIC1.CCS"	"file"	"6431"	"0xC8F800"	"62010"
"ADV\ADVFROGPIC2.CCS"	"file"	"6462"	"0xC9F000"	"60786"
"ADV\ADVFROGPIC3.CCS"	"file"	"6492"	"0xCAE000"	"64661"
"ADV\ADVGAUGE.CCS"	"file"	"6524"	"0xCBE000"	"298696"
"ADV\ADVITEM.CCS"	"file"	"6670"	"0xD07000"	"69101"
"ADV\ADVLETTER.CCS"	"file"	"6704"	"0xD18000"	"15951"
"ADV\ADVMAP.CCS"	"file"	"6712"	"0xD1C000"	"128893"
"ADV\ADVMEMBER.CCS"	"file"	"6775"	"0xD3B800"	"85095"
"ADV\ADVNRTB.CCS"	"file"	"6817"	"0xD50800"	"40631"
"ADV\ADVPRAC.CCS"	"file"	"6837"	"0xD5A800"	"27346"
"ADV\ADVRECORD.CCS"	"file"	"6851"	"0xD61800"	"56672"
"ADV\ADVSBOOK.CCS"	"file"	"6879"	"0xD6F800"	"30282"
"ADV\ADVSTATUS.CCS"	"file"	"6894"	"0xD77000"	"122205"
"ADV\ADVSURV.CCS"	"file"	"6954"	"0xD95000"	"14542"
"ADV\ADVTITLE01.CCS"	"file"	"6962"	"0xD99000"	"4588"
"ADV\ADVTITLE02.CCS"	"file"	"6965"	"0xD9A800"	"5116"
"ADV\ADVTITLE03.CCS"	"file"	"6968"	"0xD9C000"	"4876"
"ADV\ADVTITLE04.CCS"	"file"	"6971"	"0xD9D800"	"5082"
"ADV\ADVTITLE05.CCS"	"file"	"6974"	"0xD9F000"	"5177"
"ADV\ADVTITLE06.CCS"	"file"	"6977"	"0xDA0800"	"4658"
"ADV\ADVTITLE07.CCS"	"file"	"6980"	"0xDA2000"	"4542"
"ADV\ADVTITLE08.CCS"	"file"	"6983"	"0xDA3800"	"3863"
"ADV\ADVTITLE09.CCS"	"file"	"6985"	"0xDA4800"	"4478"
"ADV\ADVTRAP.CCS"	"file"	"6988"	"0xDA6000"	"49406"
"ADV\ADV_CMN.CCS"	"file"	"7013"	"0xDB2800"	"354521"
"ADV\ADV_TSP01.CCS"	"file"	"7187"	"0xE09800"	"121382"
"ADV\ADV_TSP02.CCS"	"file"	"7247"	"0xE27800"	"125651"
"ADV\CHAR"	"dir"	"29"	"0xE800"	"12288"
"ADV\CHAR\FRPGAKW.CCS"	"file"	"7327"	"0xE4F800"	"32070"
"ADV\CHAR\FRPGASW.CCS"	"file"	"7343"	"0xE57800"	"51222"
"ADV\CHAR\FRPGBAK.CCS"	"file"	"7369"	"0xE64800"	"63578"
"ADV\CHAR\FRPGCLD.CCS"	"file"	"7401"	"0xE74800"	"89997"
"ADV\CHAR\FRPGCYB.CCS"	"file"	"7445"	"0xE8A800"	"48375"
"ADV\CHAR\FRPGDDR.CCS"	"file"	"7469"	"0xE96800"	"74788"
"ADV\CHAR\FRPGEBS.CCS"	"file"	"7506"	"0xEA9000"	"64740"
"ADV\CHAR\FRPGEBZ.CCS"	"file"	"7538"	"0xEB9000"	"59116"
"ADV\CHAR\FRPGF11.CCS"	"file"	"7567"	"0xEC7800"	"33987"
"ADV\CHAR\FRPGF12.CCS"	"file"	"7584"	"0xED0000"	"37620"
"ADV\CHAR\FRPGF13.CCS"	"file"	"7603"	"0xED9800"	"36797"
"ADV\CHAR\FRPGF14.CCS"	"file"	"7621"	"0xEE2800"	"32307"
"ADV\CHAR\FRPGF15.CCS"	"file"	"7637"	"0xEEA800"	"37235"
"ADV\CHAR\FRPGF16.CCS"	"file"	"7656"	"0xEF4000"	"27764"
"ADV\CHAR\FRPGF17.CCS"	"file"	"7670"	"0xEFB000"	"36083"
"ADV\CHAR\FRPGGAW.CCS"	"file"	"7688"	"0xF04000"	"55211"
"ADV\CHAR\FRPGGN1.CCS"	"file"	"7715"	"0xF11800"	"50990"
"ADV\CHAR\FRPGGN2.CCS"	"file"	"7740"	"0xF1E000"	"56306"
"ADV\CHAR\FRPGGN3.CCS"	"file"	"7768"	"0xF2C000"	"64848"
"ADV\CHAR\FRPGGN4.CCS"	"file"	"7800"	"0xF3C000"	"57931"
"ADV\CHAR\FRPGGN5.CCS"	"file"	"7829"	"0xF4A800"	"66622"
"ADV\CHAR\FRPGGN6.CCS"	"file"	"7862"	"0xF5B000"	"69689"
"ADV\CHAR\FRPGGUW.CCS"	"file"	"7897"	"0xF6C800"	"69511"
"ADV\CHAR\FRPGHNW.CCS"	"file"	"7931"	"0xF7D800"	"63038"
"ADV\CHAR\FRPGHTN.CCS"	"file"	"7962"	"0xF8D000"	"32206"
"ADV\CHAR\FRPGI01.CCS"	"file"	"7978"	"0xF95000"	"30079"
"ADV\CHAR\FRPGI02.CCS"	"file"	"7993"	"0xF9C800"	"29735"
